timestamp,phycotank_id,pH,temperature_C,flow_rate_lph,energy_consumption_kWh,lux,mag_field_T
2025-07-28 22:00:00,PT01,7.39,23.7,252.9,1.12,44405,0.00012629
2025-07-28 23:00:00,PT01,8.15,26.2,118.0,1.21,11150,8.126e-05
2025-07-28 00:00:00,PT02,8.21,22.4,271.3,0.59,26474,0.00014028
2025-07-28 01:00:00,PT02,6.54,18.9,105.6,0.23,20387,0.00014442
2025-07-28 02:00:00,PT02,7.03,23.1,253.7,0.93,39658,0.00017698
2025-07-28 03:00:00,PT02,7.53,23.4,245.5,0.72,42381,8.332e-05
2025-07-28 04:00:00,PT02,7.14,29.2,192.4,0.96,38977,0.00014732
2025-07-28 05:00:00,PT02,7.64,29.3,299.0,0.48,42244,0.00014717
2025-07-28 06:00:00,PT02,8.37,31.6,137.6,0.63,69897,0.00010167
2025-07-28 07:00:00,PT02,7.5,22.2,79.6,0.67,16130,0.00019271
2025-07-28 08:00:00,PT02,7.32,22.0,289.0,0.49,63150,3.497e-05
2025-07-28 09:00:00,PT02,7.52,23.8,161.3,1.22,52643,9.143e-05
2025-07-28 10:00:00,PT02,8.09,27.2,292.9,1.22,40447,0.00013649
2025-07-28 11:00:00,PT02,7.65,22.8,215.1,0.57,37625,0.00013404
2025-07-28 12:00:00,PT02,8.41,20.5,60.3,1.23,45890,7.001e-05
2025-07-28 13:00:00,PT02,7.66,20.6,197.3,0.43,42953,6.809e-05
2025-07-28 14:00:00,PT02,7.74,25.4,276.3,0.77,13889,0.00011295
2025-07-28 15:00:00,PT02,7.54,26.1,186.3,0.23,26603,0.0001213
2025-07-28 16:00:00,PT02,8.24,23.5,287.7,1.0,28726,5.301e-05
2025-07-28 17:00:00,PT02,7.57,23.0,251.5,0.87,47147,0.00017881
2025-07-28 18:00:00,PT02,6.86,30.7,212.1,0.97,40432,0.00010518
2025-07-28 19:00:00,PT02,7.65,18.6,291.6,1.42,32395,2.803e-05
2025-07-28 20:00:00,PT02,7.15,24.9,292.0,1.07,26589,1.333e-05
2025-07-28 21:00:00,PT02,7.19,26.2,74.6,0.87,22564,0.00018016
2025-07-28 22:00:00,PT02,7.18,27.4,236.9,1.2,28034,0.00015663
2025-07-28 23:00:00,PT02,7.09,22.9,258.7,1.49,56345,0.00017901
2025-07-28 00:00:00,PT03,7.89,28.3,101.4,1.15,43424,1.09e-05
2025-07-28 01:00:00,PT03,8.1,31.2,198.4,0.6,28915,6.067e-05
2025-07-28 02:00:00,PT03,7.0,27.5,216.9,0.68,16668,0.00010921
2025-07-28 03:00:00,PT03,8.39,30.5,237.5,1.23,58421,0.00015148
2025-07-28 04:00:00,PT03,8.12,23.8,277.2,1.13,55688,8.91e-05
2025-07-28 05:00:00,PT03,7.74,23.2,230.6,0.96,56615,0.00010974
2025-07-28 06:00:00,PT03,7.46,30.4,268.9,0.37,45817,1.73e-05
2025-07-28 07:00:00,PT03,6.51,18.0,152.4,1.02,48925,8.055e-05
2025-07-28 08:00:00,PT03,6.75,18.7,78.9,0.89,52044,0.00013889
2025-07-28 09:00:00,PT03,7.23,26.3,294.7,1.29,34844,3.344e-05
2025-07-28 10:00:00,PT03,7.91,22.0,138.6,1.16,35146,6.14e-05
2025-07-28 11:00:00,PT03,6.68,20.6,252.1,1.36,19756,0.00014391
2025-07-28 12:00:00,PT03,7.34,21.5,274.3,1.46,51777,0.00013756
2025-07-28 13:00:00,PT03,7.54,30.9,77.5,1.35,61337,0.00016042
2025-07-28 14:00:00,PT03,7.99,27.1,161.2,1.0,16644,0.00019672
2025-07-28 15:00:00,PT03,7.83,21.4,143.4,0.51,57888,0.00016198
2025-07-28 16:00:00,PT03,7.27,26.7,68.3,0.95,45892,3.582e-05
2025-07-28 17:00:00,PT03,7.41,26.6,244.4,1.46,31462,7.063e-05
2025-07-28 18:00:00,PT03,6.75,20.2,238.7,0.6,57024,0.00014517
2025-07-28 19:00:00,PT03,8.32,23.8,294.4,1.36,54362,7.907e-05
2025-07-28 20:00:00,PT03,7.77,24.5,272.3,0.51,16785,3.525e-05
2025-07-28 21:00:00,PT03,8.4,18.6,177.1,1.04,49761,0.00010718
2025-07-28 22:00:00,PT03,7.04,26.9,243.0,0.98,33286,3.637e-05
2025-07-28 23:00:00,PT03,6.68,24.5,281.6,1.08,21655,0.00010564
2025-07-28 00:00:00,PT04,6.85,30.4,67.4,0.48,63058,9.684e-05
2025-07-28 01:00:00,PT04,7.66,21.6,291.1,0.87,16022,3.822e-05
2025-07-28 02:00:00,PT04,6.7,29.3,234.0,0.27,21296,1.914e-05
2025-07-28 03:00:00,PT04,8.38,29.1,216.5,0.57,14124,0.00010768
2025-07-28 04:00:00,PT04,7.45,21.0,113.1,1.36,11398,0.00019487
2025-07-28 05:00:00,PT04,7.9,20.7,147.8,1.2,58322,0.00012927
2025-07-28 06:00:00,PT04,7.23,25.0,162.1,0.23,21773,3.266e-05
2025-07-28 07:00:00,PT04,6.55,27.0,241.2,0.61,53310,0.00017785
2025-07-28 08:00:00,PT04,6.96,32.0,104.3,0.51,32676,0.00012364
2025-07-28 09:00:00,PT04,7.66,30.0,270.7,1.11,45765,0.00010738
2025-07-28 10:00:00,PT04,6.97,19.8,213.2,1.08,44509,3.355e-05
2025-07-28 11:00:00,PT04,8.09,31.4,165.7,0.36,53498,0.0001841
2025-07-28 12:00:00,PT04,6.67,28.1,174.1,0.21,35249,4.549e-05
2025-07-28 13:00:00,PT04,7.45,31.5,151.2,1.36,45071,0.00016051
2025-07-28 14:00:00,PT04,7.6,19.5,118.7,0.96,68861,3.153e-05
2025-07-28 15:00:00,PT04,8.49,19.6,60.9,0.34,54300,0.0001828
2025-07-28 16:00:00,PT04,7.31,22.8,194.5,0.88,29324,3.201e-05
2025-07-28 17:00:00,PT04,7.93,18.4,90.1,0.35,17851,0.00015905
2025-07-28 18:00:00,PT04,8.11,23.6,218.8,0.96,53888,0.0001404
2025-07-28 19:00:00,PT04,8.26,25.3,206.2,0.21,49924,4.441e-05
2025-07-28 20:00:00,PT04,7.85,30.3,87.9,1.05,51129,0.00010762
2025-07-28 21:00:00,PT04,7.46,22.0,75.3,0.87,25943,0.00010248
2025-07-28 22:00:00,PT04,7.8,18.9,52.4,0.47,56448,2.308e-05
2025-07-28 23:00:00,PT04,8.37,29.1,114.2,0.8,49605,2.567e-05
2025-07-28 00:00:00,PT05,8.42,24.1,181.7,0.68,50507,0.00017342
2025-07-28 01:00:00,PT05,8.34,28.4,123.6,0.89,19006,8.46e-05
2025-07-28 02:00:00,PT05,7.95,24.5,69.4,0.3,23740,5.581e-05
2025-07-28 03:00:00,PT05,6.96,29.1,299.4,1.42,19810,4.586e-05
2025-07-28 04:00:00,PT05,8.43,29.5,176.8,0.74,17430,0.00012386
2025-07-28 05:00:00,PT05,7.5,29.9,104.8,0.58,13118,3.832e-05
2025-07-28 06:00:00,PT05,7.95,19.4,138.7,0.79,67646,0.00011504
2025-07-28 07:00:00,PT05,8.22,24.1,282.1,1.33,28802,2.033e-05
2025-07-28 08:00:00,PT05,8.14,27.0,144.4,0.96,30767,0.00013496
2025-07-28 09:00:00,PT05,8.12,18.2,198.9,0.54,43305,0.00019482
2025-07-28 10:00:00,PT05,6.66,30.0,191.0,1.48,45374,0.00019691
2025-07-28 11:00:00,PT05,7.8,26.9,86.5,0.47,34427,5.288e-05
2025-07-28 12:00:00,PT05,6.95,29.8,155.4,0.21,31005,0.00016597
2025-07-28 13:00:00,PT05,6.58,27.3,189.4,0.97,21820,3.842e-05
2025-07-28 14:00:00,PT05,7.25,24.6,127.4,0.49,32531,5.928e-05
2025-07-28 15:00:00,PT05,6.62,29.0,288.1,1.24,48380,0.00010204
2025-07-28 16:00:00,PT05,6.88,19.2,224.9,0.67,31257,9.112e-05
2025-07-28 17:00:00,PT05,8.12,31.1,119.2,0.48,68999,0.00019416
2025-07-28 18:00:00,PT05,8.03,26.6,145.7,0.89,14149,0.00013
2025-07-28 19:00:00,PT05,7.96,24.3,204.2,1.23,30478,0.00017924
2025-07-28 20:00:00,PT05,6.85,30.4,132.8,1.39,11235,0.00013538
2025-07-28 21:00:00,PT05,6.56,25.4,115.3,1.28,52318,1.228e-05
2025-07-28 22:00:00,PT05,6.93,29.1,132.6,0.21,52767,8.093e-05
2025-07-28 23:00:00,PT05,6.68,31.5,179.8,0.39,26923,5.04e-05
2025-07-28 00:00:00,PT06,8.23,23.2,197.9,0.65,52263,0.00019988
2025-07-28 01:00:00,PT06,7.77,31.2,167.4,1.41,35020,6e-05
2025-07-28 02:00:00,PT06,6.59,25.5,89.1,0.44,33052,0.00014615
2025-07-28 03:00:00,PT06,7.08,18.7,265.3,0.26,53131,3.272e-05
2025-07-28 04:00:00,PT06,7.79,30.4,220.4,0.23,60435,0.00017404
2025-07-28 05:00:00,PT06,7.58,19.3,207.5,1.17,41151,9.649e-05
2025-07-28 06:00:00,PT06,7.7,28.0,254.6,0.55,36978,1.312e-05
2025-07-28 07:00:00,PT06,8.26,28.3,183.5,0.41,58083,1.705e-05
2025-07-28 08:00:00,PT06,6.69,30.4,99.7,0.26,24427,1.879e-05
2025-07-28 09:00:00,PT06,7.56,23.4,98.9,0.91,20148,5.838e-05
2025-07-28 10:00:00,PT06,6.69,20.0,220.5,0.7,47065,0.00010935
2025-07-28 11:00:00,PT06,7.38,20.1,204.0,1.23,50839,1.526e-05
2025-07-28 12:00:00,PT06,6.74,18.4,56.5,1.29,35956,0.00017723
2025-07-28 13:00:00,PT06,6.74,26.0,96.0,0.62,15188,7.93e-05
2025-07-28 14:00:00,PT06,8.37,20.7,296.1,1.38,14634,7.27e-05
2025-07-28 15:00:00,PT06,6.77,20.2,187.5,0.81,60270,0.00016528
2025-07-28 16:00:00,PT06,6.8,29.8,290.1,1.46,56075,0.00016293
2025-07-28 17:00:00,PT06,6.97,23.5,123.2,1.23,55625,0.00015594
2025-07-28 18:00:00,PT06,7.15,24.7,182.5,0.45,25703,0.00010074
2025-07-28 19:00:00,PT06,6.69,26.7,78.3,0.64,66083,0.00012188
2025-07-28 20:00:00,PT06,7.42,20.6,107.1,1.14,61720,6.113e-05
2025-07-28 21:00:00,PT06,7.56,24.3,131.2,0.21,14177,7.839e-05
2025-07-28 22:00:00,PT06,7.16,20.1,138.9,0.94,62224,0.00016634
2025-07-28 23:00:00,PT06,7.46,28.6,166.8,0.57,55870,9.819e-05
2025-07-28 00:00:00,PT07,7.24,22.1,181.0,0.49,43616,9.156e-05
2025-07-28 01:00:00,PT07,7.86,30.8,129.0,0.32,52573,0.00011007
2025-07-28 02:00:00,PT07,7.14,21.1,258.5,0.32,44491,6.33e-05
2025-07-28 03:00:00,PT07,8.41,21.3,296.2,1.26,59115,0.00017494
2025-07-28 04:00:00,PT07,7.75,29.0,66.2,1.34,54995,7.393e-05
2025-07-28 05:00:00,PT07,7.07,22.0,202.3,1.34,32310,7.834e-05
2025-07-28 06:00:00,PT07,8.15,27.0,124.7,1.33,13945,0.00019319
2025-07-28 07:00:00,PT07,8.44,24.4,197.6,0.36,20132,0.00019729
2025-07-28 08:00:00,PT07,6.71,24.7,294.9,0.97,23236,0.00013276
2025-07-28 09:00:00,PT07,7.07,26.1,211.8,0.43,31145,0.00014008
2025-07-28 10:00:00,PT07,7.75,28.1,157.3,1.06,59592,0.00016682
2025-07-28 11:00:00,PT07,6.91,26.0,165.6,1.48,44043,7.218e-05
2025-07-28 12:00:00,PT07,6.58,19.4,250.0,0.21,33865,0.00019808
2025-07-28 13:00:00,PT07,8.02,28.4,58.1,0.77,53146,0.00018538
2025-07-28 14:00:00,PT07,6.58,27.2,155.2,0.5,62864,6.257e-05
2025-07-28 15:00:00,PT07,7.91,31.8,90.5,0.44,11461,6.651e-05
2025-07-28 16:00:00,PT07,8.17,27.9,279.4,0.34,57630,0.00018975
2025-07-28 17:00:00,PT07,7.3,27.4,144.4,0.69,22729,0.00010533
2025-07-28 18:00:00,PT07,6.78,18.5,284.8,0.38,22732,9.887e-05
2025-07-28 19:00:00,PT07,7.81,20.0,95.7,0.44,46152,9.964e-05
2025-07-28 20:00:00,PT07,7.06,24.8,75.9,0.85,36898,9.513e-05
2025-07-28 21:00:00,PT07,7.69,30.0,174.6,0.6,35074,0.00011504
2025-07-28 22:00:00,PT07,7.32,24.6,287.8,0.36,19530,4.671e-05
2025-07-28 23:00:00,PT07,8.33,26.3,146.4,0.5,14780,0.00016645
2025-07-28 00:00:00,PT08,6.61,19.0,281.6,0.7,56558,0.0001689
2025-07-28 01:00:00,PT08,8.29,22.9,95.7,0.25,54926,1.764e-05
2025-07-28 02:00:00,PT08,6.89,31.8,135.4,1.03,25071,0.00011426
2025-07-28 03:00:00,PT08,8.02,31.2,146.3,1.3,46382,5.227e-05
2025-07-28 04:00:00,PT08,6.76,21.6,221.1,0.27,66756,4.117e-05
2025-07-28 05:00:00,PT08,7.47,30.9,196.2,0.9,18395,0.00011936
2025-07-28 06:00:00,PT08,7.23,30.7,157.3,0.85,33831,3.647e-05
2025-07-28 07:00:00,PT08,7.99,22.9,297.9,1.09,21348,0.00012881
2025-07-28 08:00:00,PT08,8.37,31.0,73.6,1.27,54822,0.00010686
2025-07-28 09:00:00,PT08,8.0,19.8,239.3,1.17,12682,7.439e-05
2025-07-28 10:00:00,PT08,7.22,28.6,200.2,0.76,39196,8.455e-05
2025-07-28 11:00:00,PT08,6.68,28.0,72.7,0.96,17814,0.00010415
2025-07-28 12:00:00,PT08,8.29,28.5,214.1,0.8,11455,0.00019295
2025-07-28 13:00:00,PT08,8.06,27.5,226.8,1.29,63292,0.00015329
2025-07-28 14:00:00,PT08,6.73,22.6,295.8,1.17,61504,9.058e-05
2025-07-28 15:00:00,PT08,7.84,21.4,56.3,1.34,19861,0.00010725
2025-07-28 16:00:00,PT08,7.66,28.3,182.1,1.21,13912,0.00016188
2025-07-28 17:00:00,PT08,6.59,23.2,61.8,1.48,29777,0.00011787
2025-07-28 18:00:00,PT08,7.6,20.0,192.7,0.64,59606,9.414e-05
2025-07-28 19:00:00,PT08,7.11,24.1,73.5,0.87,23453,0.00018265
2025-07-28 20:00:00,PT08,7.16,22.0,126.8,0.87,63206,0.00015106
2025-07-28 21:00:00,PT08,6.58,30.6,248.7,1.49,56066,3.963e-05
2025-07-28 22:00:00,PT08,7.46,21.4,286.9,1.43,50306,2.978e-05
2025-07-28 23:00:00,PT08,7.61,21.0,128.7,1.13,35571,0.00013197
2025-07-28 00:00:00,PT09,6.98,25.7,108.8,0.72,24059,0.0001444
2025-07-28 01:00:00,PT09,8.42,30.1,297.4,1.37,35546,3.778e-05
2025-07-28 02:00:00,PT09,8.33,24.8,50.2,1.35,33791,0.00014671
2025-07-28 03:00:00,PT09,6.88,18.4,271.2,0.76,49356,0.00013709
2025-07-28 04:00:00,PT09,7.55,30.7,167.1,1.22,44886,0.00012204
2025-07-28 05:00:00,PT09,8.13,22.2,290.7,0.26,35971,6.279e-05
2025-07-28 06:00:00,PT09,7.1,32.0,181.6,0.32,29447,1.861e-05
2025-07-28 07:00:00,PT09,6.74,20.9,69.3,1.07,38083,1.527e-05
2025-07-28 08:00:00,PT09,7.12,29.5,291.6,0.64,62755,8.552e-05
2025-07-28 09:00:00,PT09,8.29,19.9,214.8,0.4,57624,0.00012798
2025-07-28 10:00:00,PT09,7.66,30.9,268.9,0.57,67580,1.142e-05
2025-07-28 11:00:00,PT09,8.27,20.2,249.7,1.29,12806,3.692e-05
2025-07-28 12:00:00,PT09,7.62,27.7,73.4,1.3,15464,3.592e-05
2025-07-28 13:00:00,PT09,7.79,31.2,119.2,1.42,20673,4.063e-05
2025-07-28 14:00:00,PT09,8.2,24.0,71.4,1.25,16308,0.00013733
2025-07-28 15:00:00,PT09,6.85,20.3,295.0,0.64,60355,1.603e-05
2025-07-28 16:00:00,PT09,7.8,26.4,141.4,0.47,47700,0.00014329
2025-07-28 17:00:00,PT09,7.03,24.0,241.5,1.35,42762,1.327e-05
2025-07-28 18:00:00,PT09,7.15,22.8,54.2,1.36,61659,0.00018077
2025-07-28 19:00:00,PT09,8.35,19.4,215.3,1.32,52021,0.00013359
2025-07-28 20:00:00,PT09,7.56,21.5,119.4,1.43,30855,9.639e-05
2025-07-28 21:00:00,PT09,7.84,26.9,116.4,1.4,38824,3.467e-05
2025-07-28 22:00:00,PT09,7.21,24.2,110.8,0.75,55181,1.274e-05
2025-07-28 23:00:00,PT09,7.45,19.4,255.9,1.2,52560,8.21e-05
2025-07-28 00:00:00,PT10,7.58,23.7,149.7,0.21,44232,4.804e-05
2025-07-28 01:00:00,PT10,8.31,28.8,125.4,1.42,48310,2.955e-05
2025-07-28 02:00:00,PT10,6.94,20.3,84.0,0.66,64939,0.0001644
2025-07-28 03:00:00,PT10,7.85,27.7,291.2,0.3,30075,6.61e-05
2025-07-28 04:00:00,PT10,6.91,29.1,265.7,0.73,41662,5.343e-05
2025-07-28 05:00:00,PT10,6.91,20.9,234.0,0.26,20164,6.711e-05
2025-07-28 06:00:00,PT10,7.56,21.2,98.7,1.05,38950,6.505e-05
2025-07-28 07:00:00,PT10,6.65,24.0,231.2,1.31,21398,0.00014994
2025-07-28 08:00:00,PT10,7.8,23.1,120.4,0.83,27805,6.977e-05
2025-07-28 09:00:00,PT10,6.72,30.3,142.0,0.99,65498,0.00018252
2025-07-28 10:00:00,PT10,7.84,28.1,295.0,1.39,38019,0.00018982
2025-07-28 11:00:00,PT10,8.15,29.0,298.5,1.19,55072,4.503e-05
2025-07-28 12:00:00,PT10,7.62,22.0,146.8,1.38,11075,7.905e-05
2025-07-28 13:00:00,PT10,7.91,26.5,281.9,1.47,67748,0.00018226
2025-07-28 14:00:00,PT10,8.38,23.5,199.3,0.44,22995,0.00018514
2025-07-28 15:00:00,PT10,8.07,23.8,164.1,0.91,35127,0.00018445
2025-07-28 16:00:00,PT10,7.86,27.8,135.2,1.49,22231,0.00012231
2025-07-28 17:00:00,PT10,7.52,25.5,147.9,0.79,61230,0.0001788
2025-07-28 18:00:00,PT10,6.65,31.4,198.1,0.35,57377,0.00014623
2025-07-28 19:00:00,PT10,7.44,21.1,216.4,0.54,23143,1.48e-05
2025-07-28 20:00:00,PT10,6.64,28.6,69.9,0.43,10614,6.59e-05
2025-07-28 21:00:00,PT10,7.84,21.2,148.6,1.22,32732,0.00017686
2025-07-28 22:00:00,PT10,7.95,23.5,215.3,1.42,19909,0.00011581
2025-07-28 23:00:00,PT10,7.77,26.2,108.5,1.17,21008,0.00011203
